Number of Subjects,Average EER,EER Std Dev,EER Std Dev2
36,10.861913101259596,1.0435498297698502,6.6176000092959475
16,10.614711473774156,1.6361849628515537,6.776970753566918
39,10.547909769205035,0.9867597889303087,6.559056854826602
26,10.51147361470779,1.0878919316911964,6.6829789876145425
46,10.769346897581753,0.9546464194511665,6.818601665072079
47,10.846093410569777,0.7116439812867948,6.7191106226405335
22,10.866832041308736,1.5852235593535238,7.026944479874133
93,10.801510829727281,0.18720680534039721,6.70755785300191
91,10.814195728053738,0.248550990720036,6.666838945604039
41,10.881773619529886,0.9096659386761774,6.920031403449887
3,8.733942390459614,5.441952435747472,5.360325874152055
82,10.707208738537824,0.276237527503163,6.603397221652988
65,10.7705089757303,0.5276846426373171,6.7679066349290204
7,9.253563500897563,2.7573059760306635,5.974695694886715
80,10.794317903706487,0.38413750790932505,6.765196990981277
49,10.69452796732329,0.8490930608441819,6.71977945376525
54,10.79577886868491,0.6423366069078055,6.615436328299027
72,10.799724369773607,0.5113238981998693,6.590546397863883
33,10.744999536005082,1.2248905785677535,6.902680197062364
30,10.878100458283008,1.108053265667059,6.91492024975864
94,10.833798413527656,0.19101123460621264,6.660010632186485
37,10.758847422816807,0.9305051957102581,6.608091719897317
58,10.759501996356086,0.6873602981479315,6.723003489105947
50,10.696646955176856,0.6860915487661335,6.630140474569671
42,10.73032975635015,0.9312539385097248,6.631176719074476
100,10.783998144087734,0.0,6.6733389493258075
76,10.759052883769657,0.3421747060863011,6.66402876423895
68,10.696428387919426,0.4786057705610753,6.654745630834818
77,10.772957046377767,0.41218180390548037,6.64631532723456
51,10.561650107566157,0.7087020484907036,6.538280813362922
8,9.437719129619069,2.886751075048313,6.168833610701419
88,10.776164275340186,0.25235387430981127,6.660455486457881
45,10.879411690348238,0.8299202035835604,6.821499543518138
61,10.869958578189108,0.5476550016045922,6.7389467797116875
14,10.75125956034848,2.267944725190441,6.558657099201375
18,10.876281060162805,1.598448463483104,6.647606582782808
2,11.174159596770398,11.435451807198714,3.626075443662598
56,10.659511493926363,0.6984525941338969,6.548489721217989
20,10.245895045237937,1.6647685006683473,6.444557072316976
55,11.015442019285365,0.7899094068963001,6.922518238041822
97,10.757894269605748,0.1464546325580198,6.659098941525217
73,10.64983690124319,0.3927787204279477,6.491469277418109
17,10.685841090060528,1.6272782902794283,6.856416389783207
38,10.890947958578101,1.0540501275782113,6.997258191834529
89,10.768003584704326,0.2815146671190379,6.679107460901317
64,10.812433307419365,0.5708314573300725,6.643926500053812
67,10.84823357226943,0.572831229407225,6.774880200475584
79,10.751789255868298,0.41642068898745366,6.65535339352098
24,10.68415233809474,1.4729604351987955,6.7787753306522145
19,10.813710875270441,1.5859430597062263,6.856640338824307
59,10.85587092580569,0.7010896349816528,6.716705596392868
92,10.79204023980657,0.21499825968467248,6.640909021914282
85,10.720007100214122,0.3015233213505761,6.644683126923312
84,10.84740358153282,0.31128330569467944,6.781145945183357
15,10.016661138752875,1.614661607573051,6.080835143039708
9,10.333212748134802,3.0337983905977004,7.006892321249717
29,10.56118725392241,1.1806729224140766,6.433357128780083
10,10.630020375832302,2.8534993788357417,7.210735892561932
31,10.525354113217466,0.8929594843184242,6.567483937542064
12,10.725918465250045,2.878138887999519,7.219761122877468
74,10.77276713118608,0.40807933113033096,6.717940197955151
66,10.747008049923464,0.4806309350261643,6.730904932171146
81,10.852599336013954,0.3946112442996877,6.666548391254244
86,10.759786846105483,0.30086618082047806,6.587371219980443
90,10.823485508513665,0.23853262723043053,6.78072515909658
60,10.79152485611803,0.5515706996398514,6.59769434024079
95,10.739933367920434,0.15131206253793725,6.6628423147369995
44,10.357543340765385,0.8775500941138198,6.321878814989517
71,10.759130170630344,0.45504461104042004,6.763944845113352
13,10.935354146438305,2.435104045746151,7.386330840684474
32,10.374757484574705,1.007057067317705,6.288929002384903
34,10.745801660740797,1.1608567618655925,6.807927330055691
4,8.102349246376697,4.891620086384022,6.27230098471534
5,11.349460290491972,4.753060317246464,7.030363173837881
35,10.744846275342079,0.9778597845755734,6.6546192838380716
28,10.840379295900782,1.3151090872373232,6.775305405202172
62,10.66630704653897,0.4769010062582573,6.630743989460079
40,10.615081932628229,0.9658124037428666,6.826080583654086
23,10.556922667944509,1.0881124650714662,6.68825991983825
11,9.790260933457322,2.298787353920383,6.433479027615898
87,10.82855061187751,0.3164339813986686,6.67919597497492
48,10.791448829683675,0.7922365477656772,6.796641202486179
57,10.700276987803136,0.6911312496356021,6.6090087180316575
52,10.839621071802616,0.817175017176989,6.725824796300191
27,10.764619445767536,1.3608696805505387,6.598070633058135
83,10.831683529694901,0.30217141412824927,6.730952486316491
75,10.728387509460358,0.4436613104394243,6.746938659392789
63,10.587329704653776,0.5687579875162726,6.470711657039498
70,10.799530762003736,0.5142602495949289,6.728892418125934
25,10.28711612775007,1.2293709347471946,6.480380227487529
96,10.79971291096521,0.166617520317801,6.697648139665789
53,10.703062919427994,0.6996645102767575,6.625961967678125
43,10.661267698906475,0.8689338179746039,6.4844247363061935
69,10.77952784937476,0.4208998000023358,6.748707224118587
21,10.564364264706487,1.5264510671258518,6.72149404924986
78,10.715234779981836,0.34268939154485806,6.6275873890712065
98,10.785325204894432,0.10087014035302584,6.689483386477337
99,10.789109504206065,0.0709817406346226,6.679932261987908
6,10.26758787554384,4.012124657430206,6.931593402334709
